training	image REDACTED role performance truly	14	image_1	role_1	Empty	could_AUX	not_PART	image_NOUN	in_ADP	a_DET	serious_ADJ	role_NOUN
training	coincidence plausible today considering recent terrorism health current Vice President REDACTED	6	coincidence_1	today_1	of_ADP	current_ADJ	Vice_PROPN	President_PROPN	Empty	Empty	Empty	Empty
training	Serlings unsentimental script based Irving REDACTEDs book includes intrigue plot twists amazing confluence recognizable character actors effective direction transcend usual TV movie standards making better TV movies ve seen	7	TV_2	Serlings_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	overall meditative quality music beautiful photography listening clich things life REDACTED worked shots	16	quality_1	music_1	things_NOUN	about_ADP	life_NOUN	that_PRON	would_AUX	say_VERB	as_SCONJ	he_PRON
training	truly banal cinema Brobdingnagian scale film REDACTED box set films	14	cinema_1	scale_1	this_DET	film_NOUN	on_ADP	the_DET	box_NOUN	set_VERB	with_ADP	some_DET
training	gather REDACTED crazy antiques dealer prays African statue sacrifices people	5	antiques_1	dealer_1	what_PRON	I_PRON	can_AUX	gather_VERB	seemed_VERB	to_PART	be_AUX	about_ADP
training	casting directed miss REDACTED suck movie known attitude unsuspected self cynical humor	5	suck_1	movie_1	well_ADV	directed_VERB	and_CCONJ	miss_PROPN	does_AUX	suck_VERB	you_PRON	in_ADP
training	remember having Megavolt action figure remember happened found voiced REDACTED Homer Simpson wanted action figure	17	action_2	figure_2	he_PRON	was_AUX	voiced_VERB	by_ADP	Homer_PROPN	Simpson_PROPN	I_PRON	really_ADV
training	clean fitting especially fathers old hat coat scene REDACTED comes home sense accuracy	5	fathers_1	hat_1	in_ADP	the_DET	scene_NOUN	where_SCONJ	comes_VERB	home_ADV	for_ADP	any_DET
training	reaction REDACTEDs Seinfeld sucked	6	reaction_2	s_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	Quai des REDACTED amusing comedy infidelity jealousy love set post WWII Paris	8	des_1	comedy_1	Empty	Empty	Empty	des_X	is_AUX	all_PRON	of_ADP	these_PRON
training	share REDACTEDs view says murder mystery slice cake raisins candied fruit deny film documentary	9	view_1	murder_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	Quai des REDACTED wonderful film documentary	8	film_1	documentary_1	Empty	Empty	Empty	des_X	is_AUX	a_DET	wonderful_ADJ	film_NOUN
training	stage REDACTED	12	stage_2	Empty_0	Empty	stage_NOUN	name_NOUN	is_AUX	Empty	Empty	Empty	Empty
training	REDACTED sad sack	9	sack_2	 _1	Empty	Empty	Empty	Empty	is_AUX	something_PRON	of_ADP	a_DET
training	s blond gorgeous think REDACTED capable	13	s_1	blond_1	blond_ADJ	gorgeous_ADJ	think_NOUN	of_ADP	and_CCONJ	capable_ADJ	Empty	Empty
training	REDACTED friends children	9	friends_1	children_1	Empty	Empty	Empty	and_CCONJ	have_AUX	been_AUX	friends_NOUN	since_SCONJ
training	Inspector REDACTED gets case	7	Inspector_1	case_1	Empty	Empty	Empty	Empty	gets_VERB	the_DET	case_NOUN	Empty
training	Antoine REDACTED tall tired middle aged bachelor sore feet	12	feet_2	Antoine_1	Empty	Empty	Empty	Empty	is_AUX	a_DET	tall_ADJ	tired_ADJ
training	things REDACTED discovers brain Brignon bottle shot heart	7	things_1	brain_1	of_ADP	the_DET	first_ADJ	things_NOUN	discovers_VERB	is_AUX	not_PART	only_ADV
training	chance great music hall songs sung REDACTED	12	music_1	hall_1	hall_NOUN	songs_NOUN	sung_VERB	by_ADP	Empty	Empty	Empty	Empty
training	clear time REDACTEDs persistence	17	time_1	persistence_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	takes music hall REDACTED performs	12	music_1	hall_1	the_DET	music_NOUN	hall_NOUN	where_SCONJ	often_ADV	performs_VERB	Empty	Empty
training	REDACTED sings couples seats single men wearing coats hats standing room	5	couples_1	men_1	Empty	Empty	can_AUX	see_VERB	as_SCONJ	she_PRON	sings_VERB	with_ADP
training	REDACTED tall long face broad cheekbones	6	face_1	cheekbones_1	Empty	Empty	Empty	Empty	was_AUX	tall_ADJ	with_ADP	a_DET
training	point says ve taken liking REDACTED	17	point_2	says_1	a_DET	liking_NOUN	to_ADP	you_PRON	Empty	Empty	Empty	Empty
training	Jouvet brings kinds nuances line rueful regret gentle amusement True idea TV series sprung immense success REDACTED enjoying worldwide Germany	11	kinds_1	nuances_1	the_DET	immense_ADJ	success_NOUN	which_PRON	is_AUX	enjoying_VERB	worldwide_ADV	even_ADV
training	  played charming REDACTED exchange quick romantic repartees continually spy engaging sitcom like criminal cases Berlin surroundings	16	exchange_1	repartees_1	Empty	played_VERB	by_ADP	charming_ADJ	exchange_NOUN	quick_ADJ	romantic_ADJ	repartees_NOUN
training	aided magnificent cast co stars notably secretary played REDACTED rare gem GREAT comic potential	18	cast_1	co_1	their_PRON	secretary_NOUN	played_VERB	by_ADP	who_PRON	is_AUX	a_DET	rare_ADJ
training	saw cover figured Oh got REDACTED marginally funny	10	cover_2	saw_1	figured_VERB	Oh_INTJ	its_PRON	got_AUX	it_PRON	must_AUX	be_AUX	at_ADP
training	Ferrel plays REDACTED scientist believe tachyons sub atomic particles cross time dimension rifts	13	scientist_1	tachyons_1	Empty	Empty	Ferrel_PROPN	plays_VERB	a_DET	scientist_NOUN	who_PRON	believe_VERB
training	REDACTED movie remotely funny s main character	10	movie_1	character_1	Empty	Empty	only_ADV	is_AUX	or_CCONJ	anyone_PRON	else_ADV	in_ADP
training	REDACTED time hands hatch cinematic eggs	6	time_1	hands_1	Empty	it_PRON	seems_VERB	that_SCONJ	had_VERB	enough_ADJ	time_NOUN	on_ADP
training	script REDACTEDs direction trump card	15	direction_1	trump_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	Subsequently REDACTED partner Victor abducted bunch weirdos inside old bunker fellow cult members reside	12	partner_1	weirdos_1	Empty	Empty	Empty	Empty	and_CCONJ	his_PRON	partner_NOUN	Victor_PROPN
validation	lot hokey acting involved process finally culminates scene REDACTED gets bang hot cult member chick	6	lot_1	acting_1	in_ADP	a_DET	scene_NOUN	where_SCONJ	gets_VERB	to_PART	bang_VERB	a_DET
training	REDACTED likable hero	13	hero_2	 _1	Empty	Empty	Empty	one_NUM	is_AUX	not_PART	a_DET	likable_ADJ
validation	unlike reviewers find REDACTEDs narration annoying distracting	15	reviewers_1	narration_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
validation	acting amazing REDACTED cute button	17	button_2	acting_1	acting_NOUN	is_AUX	amazing_ADJ	and_CCONJ	is_AUX	as_ADV	cute_ADJ	as_ADP
validation	Harvey Sabrina cute couple REDACTED absolutely hilarious	5	couple_2	Harvey_1	really_ADV	cute_ADJ	couple_NOUN	and_CCONJ	is_AUX	absolutely_ADV	hilarious_ADJ	Empty
validation	achieved true greatness day break th anniversary Spanish American war famous land battle brief said war REDACTED wrote directed stirring tribute Volunteer Cavalry	12	war_2	greatness_1	that_DET	brief_NOUN	said_VERB	war_NOUN	wrote_VERB	and_CCONJ	directed_VERB	a_DET
validation	m fan seventh season twists college REDACTED joins group dialog painful poorly acted Plus ugly jokes surviving good looks lost	6	fan_1	season_1	you_PRON	get_VERB	to_ADP	college_NOUN	joins_VERB	the_DET	group_NOUN	and_CCONJ
validation	Soon lot countries reluctant accept sudden influx Japanese country chaos follows happens touch wood hope REDACTED safe stay place hee hee	10	lot_1	countries_1	touch_NOUN	wood_NOUN	I_PRON	hope_VERB	will_AUX	be_AUX	safe_ADJ	she_PRON
validation	Dr Tadokoro played REDACTED portraying divorced mad scientist kicks bashes stuff	16	scientist_1	kicks_1	Empty	Tadokoro_PROPN	played_VERB	by_ADP	was_AUX	done_VERB	really_ADV	well_ADV
validation	Reiko played gorgeous REDACTED played memorable line entire movie watch find fancy nice acting voice	13	line_1	movie_1	Empty	played_VERB	by_ADP	gorgeous_ADJ	was_AUX	also_ADV	played_VERB	rather_ADV
validation	poor Anne chasing streets REDACTED like silly modern adolescent happen silly modern adolescent reading let tell running male like female heat cool	17	streets_1	reading_1	down_ADP	the_DET	streets_NOUN	after_SCONJ	like_ADP	a_DET	silly_ADJ	modern_ADJ
validation	find REDACTED super patriotic racist regards	9	racist_2	find_1	Empty	Empty	may_AUX	find_VERB	too_ADV	super_ADV	patriotic_ADJ	even_ADV
validation	time painfully obvious Morty man actor REDACTED fake looking suit	10	time_1	man_1	is_AUX	a_DET	man_NOUN	actor_NOUN	in_ADP	a_DET	fake_ADJ	looking_NOUN
validation	Franco best known known slightly exaggerated REDACTED weird cultish movie got acclaim mid s people found Jess Franco interesting composer	15	movie_1	acclaim_1	be_AUX	slightly_ADV	exaggerated_ADJ	for_ADP	a_DET	weird_ADJ	cultish_ADJ	movie_NOUN
validation	moment REDACTED grip	6	moment_1	grip_1	Empty	Empty	that_DET	moment_NOUN	never_ADV	could_AUX	grip_VERB	me_PRON
validation	better REDACTED think	15	better_1	 _1	is_AUX	even_ADV	better_ADJ	than_SCONJ	I_PRON	think_VERB	Empty	Empty
validation	Remember seen REDACTED chronologically came years later movies kinda start	15	years_1	movies_1	Empty	I_PRON	had_AUX	seen_VERB	before_ADV	although_SCONJ	chronologically_ADV	that_PRON
validation	story went puzzling gripping beautiful camera work stuff like REDACTED occupied spreading political messages	6	story_1	camera_1	would_AUX	like_VERB	to_PART	see_VERB	do_VERB	if_SCONJ	he_PRON	were_AUX
validation	recreated REDACTEDs poses magazine wanted movie	14	poses_1	magazine_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
validation	know s guy claimed REDACTEDs confidant husband weekend	7	guy_1	husband_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
validation	claims proved matter fact marriage claim totally disproven check dated time wedding signed REDACTED proved Los Angeles time	11	time_2	claims_1	wedding_NOUN	and_CCONJ	signed_VERB	by_ADP	proved_VERB	that_SCONJ	she_PRON	was_AUX
validation	example scene REDACTED confused henchman says Ah look	9	scene_1	henchman_1	is_VERB	the_DET	scene_NOUN	where_SCONJ	is_AUX	confused_VERB	which_DET	henchman_NOUN
validation	better settling chewing aluminum foil Carlos REDACTED funny	6	aluminum_1	foil_1	chewing_VERB	aluminum_NOUN	foil_NOUN	Carlos_PROPN	is_AUX	not_PART	funny_ADJ	Empty
validation	stand specials train wreck TV series REDACTED funny	13	specials_1	train_1	of_ADP	a_DET	TV_NOUN	series_NOUN	is_AUX	not_PART	funny_ADJ	Empty
validation	liked protagonist male character given REDACTED film good Oh GOD bad	14	character_1	film_1	character_NOUN	were_AUX	given_VERB	to_PART	however_ADV	the_DET	film_NOUN	is_AUX
validation	Comedy stands chance evolving REDACTED	13	Comedy_1	chance_1	chance_NOUN	of_ADP	evolving_VERB	with_ADP	around_ADP	Empty	Empty	Empty
validation	people especially viewers Comedy Central executives point weeks issue New York magazine accurately labeled REDACTED unrepentant joke filcher	13	people_1	viewers_1	magazine_NOUN	accurately_ADV	labeled_VERB	him_PRON	unrepentant_ADJ	joke_NOUN	filcher_NOUN	Empty
validation	short starts REDACTED getting frustrated typecast comedy reads version classic producer	5	comedy_1	version_1	Empty	short_ADJ	starts_VERB	with_ADP	getting_AUX	frustrated_VERB	at_ADP	only_ADV
validation	rest roller coaster priceless performances toons swashbuckling sight gags complete references REDACTED unexpected ending boot	11	rest_1	roller_1	complete_ADJ	with_ADP	references_NOUN	to_AUX	with_ADP	an_DET	unexpected_ADJ	ending_NOUN
validation	Porky given little Lord High Chamberlain REDACTED relishes Duke	9	Porky_1	given_1	Lord_PROPN	High_PROPN	Chamberlain_PROPN	while_SCONJ	relishes_VERB	his_PRON	part_NOUN	as_ADP
testing	REDACTED beautiful cute duck think	7	duck_2	 _1	Empty	Empty	Empty	Empty	is_AUX	a_DET	very_ADV	beautiful_ADJ
testing	direction music print color good opening theme song performed REDACTED III	15	direction_1	music_1	theme_NOUN	song_NOUN	performed_VERB	by_ADP	III_NUM	Empty	Empty	Empty
testing	accurate portrayal date depicting REDACTED boot camp boys turned men	11	portrayal_1	date_1	portrayal_NOUN	to_ADP	date_NOUN	depicting_VERB	boot_NOUN	camp_NOUN	and_CCONJ	how_SCONJ
testing	REDACTED Webb excellent Sgt Jim Moore tough fair drill instructor Paris Island North Carolina	4	drill_1	instructor_1	Empty	Empty	Empty	Empty	Webb_PROPN	is_AUX	excellent_ADJ	as_ADP
testing	recent film REDACTED shows life basic training worth viewing ruin movie combination poor script poor direction	17	film_1	life_1	Empty	more_ADV	recent_ADJ	film_NOUN	also_ADV	shows_VERB	life_NOUN	in_ADP
testing	Christina REDACTED watchable given little script support nutty character	5	script_1	support_1	Empty	Empty	Empty	Empty	always_ADV	watchable_ADJ	is_AUX	given_VERB
testing	REDACTED took old action movies seventies copied	9	action_1	movies_1	Empty	Empty	Empty	Empty	took_VERB	old_ADJ	action_NOUN	movies_NOUN
testing	offended led believe going actually good movie REDACTED bear sit entire movie	9	movie_2	bear_1	actually_ADV	good_ADJ	movie_NOUN	which_PRON	is_AUX	not_PART	I_PRON	could_AUX
testing	makes Eklavya tad different REDACTED	16	tad_2	makes_1	is_AUX	just_ADV	one_NUM	name_NOUN	Empty	Empty	Empty	Empty
testing	main draw REDACTED Wonder Woman curve hugging outfit chest free grace screen	12	curve_1	outfit_1	one_NOUN	was_AUX	to_PART	see_VERB	Wonder_PROPN	Woman_PROPN	out_ADP	of_ADP
training	great interest depth REDACTED documentary	9	interest_1	depth_1	and_CCONJ	depth_NOUN	of_ADP	a_DET	documentary_NOUN	Empty	Empty	Empty
training	despite Mr REDACTEDs taste vivid	9	despite_1	Mr_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	BASEketball funny movie REDACTED manages laugh heads	12	movie_1	laugh_1	a_DET	really_ADV	funny_ADJ	movie_NOUN	manages_VERB	to_PART	make_VERB	us_PRON
training	movie plays everyones emotions want second chance things REDACTED got	10	movie_1	everyones_1	second_ADJ	chance_NOUN	at_ADP	things_NOUN	got_VERB	one_NUM	Empty	Empty
training	shown G teborg retrospective dedicated REDACTED	14	shown_1	G_1	a_DET	retrospective_ADJ	dedicated_ADJ	to_ADP	Empty	Empty	Empty	Empty
training	Der Todesking Jorg REDACTEDs second length feature film notorious Nekromantik central character characters	10	length_1	feature_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	Unlike REDACTEDs works gory	10	Unlike_1	s_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	REDACTED thankfully fine entertainment engaging characters	10	entertainment_1	characters_1	Empty	Empty	Empty	not_PART	thankfully_ADV	but_CCONJ	it_PRON	is_AUX
training	British intelligence London action Professor REDACTED volunteered services young Norwegians	14	intelligence_1	action_1	to_PART	take_VERB	action_NOUN	Professor_PROPN	volunteered_VERB	the_DET	services_NOUN	of_ADP
training	seen long time mad mean REDACTED	13	time_2	seen_1	is_AUX	so_ADV	mean_ADJ	to_PART	Empty	Empty	Empty	Empty
training	blend biography poetry live action animation makes true work art narration Sir REDACTED moving	16	blend_1	biography_1	The_DET	narration_NOUN	by_ADP	Sir_PROPN	is_AUX	moving_VERB	Empty	Empty
training	Absolutely wonderful drama REDACTED notch highly recommend movie	3	drama_1	notch_1	Empty	wonderful_ADJ	drama_NOUN	and_CCONJ	is_AUX	top_ADJ	notch_NOUN	I_PRON
training	REDACTED visits parent birthday father occasionally kind tragedy	3	visits_1	parent_1	Empty	Empty	Empty	Empty	visits_VERB	her_PRON	parent_NOUN	for_ADP
training	basically Finally help falling love REDACTED	3	love_2	basically_1	falling_VERB	in_ADP	love_NOUN	with_ADP	Empty	Empty	Empty	Empty
training	amazed brilliance REDACTED	8	brilliance_2	amazed_1	brilliance_NOUN	not_PART	only_ADV	of_ADP	Empty	Empty	Empty	Empty
training	enjoyable film music REDACTED Tootsie songs film better	14	film_1	music_1	film_NOUN	The_DET	music_NOUN	from_ADP	Tootsie_PROPN	songs_NOUN	made_VERB	the_DET
training	REDACTED visits parent birthday father occasionally kind tragedy	3	visits_1	parent_1	Empty	Empty	Empty	Empty	visits_VERB	her_PRON	parent_NOUN	for_ADP
training	reporter REDACTED investigates situation begins find answers brides dying	15	reporter_1	investigates_1	Empty	Empty	a_DET	reporter_NOUN	investigates_VERB	the_DET	situation_NOUN	and_CCONJ
training	animated characters oddly colored voiced versions Jungle Book REDACTED characters	10	characters_2	versions_1	of_ADP	Jungle_PROPN	Book_PROPN	and_CCONJ	characters_NOUN	Empty	Empty	Empty
training	lines hilarious leads better REDACTED especially brilliant	14	lines_2	hilarious_1	have_AUX	never_ADV	been_AUX	better_ADV	is_AUX	especially_ADV	brilliant_ADJ	Empty
training	Thor REDACTED developed theory ancient Incas Peru managed travel thousands miles ocean Polynesia	9	theory_1	thousands_1	Empty	Empty	Empty	Empty	had_AUX	developed_VERB	a_DET	theory_NOUN
training	order test hypothesis REDACTED crew construct vessel closely possible ancient Incas available	9	order_1	test_1	to_PART	test_VERB	his_PRON	hypothesis_NOUN	and_CCONJ	his_PRON	crew_NOUN	construct_VERB
training	lot truth REDACTED demonstrates film	16	lot_1	truth_1	of_ADP	truth_NOUN	to_ADP	what_PRON	demonstrates_VERB	in_ADP	this_DET	film_NOUN
training	perfect blend romance drama humour fantasy movie right greatest classics REDACTED	12	blend_1	romance_1	greatest_ADJ	classics_NOUN	ever_ADV	made_VERB	Empty	Empty	Empty	Empty
training	REDACTED shines roll	12	shines_1	roll_1	Empty	Empty	Empty	Empty	really_ADV	shines_VERB	in_ADP	his_PRON
training	hilarious REDACTED eternally gullible	10	hilarious_1	 _1	Empty	quite_ADV	hilarious_ADJ	what_PRON	does_VERB	to_ADP	the_DET	eternally_ADV
training	nice REDACTED short Child actors screaming lines norm day	14	actors_1	lines_1	Empty	Empty	Empty	nice_ADJ	short_ADJ	Child_NOUN	actors_NOUN	screaming_VERB
training	cent REDACTED great movie horrible Catwoman	12	movie_2	cent_1	Empty	Empty	last_ADJ	cent_NOUN	is_AUX	great_ADJ	she_PRON	always_ADV
training	bought playing chess REDACTED	8	chess_2	bought_1	was_AUX	playing_VERB	chess_NOUN	in_ADP	Empty	Empty	Empty	Empty
training	REDACTED	5	Empty_0	Empty_0	Empty	Empty	Empty	Empty	it_PRON	out_ADP	of_ADP	Empty
training	visit site TheCoffeeCoaster com REDACTED	22	site_1	TheCoffeeCoaster_1	my_PRON	site_NOUN	TheCoffeeCoaster_NOUN	com_NOUN	Empty	Empty	Empty	Empty
training	Personally enjoyed REDACTED thouroughly time ve seen theatrically release Australian slasher flick	3	time_1	slasher_1	Empty	Empty	I_PRON	enjoyed_VERB	thouroughly_ADV	It_PRON	was_AUX	the_DET
training	REDACTED original scary ultimately bit fun d seven	3	bit_1	d_1	Empty	Empty	Empty	Empty	was_AUX	original_ADJ	scary_ADJ	enough_ADV
training	REDACTED American alike forget goes comes	4	 _1	American_1	Empty	one_NUM	of_ADP	us_PRON	and_CCONJ	American_ADJ	alike_ADV	forget_VERB
training	Cruella played REDACTED escaped	11	Cruella_1	played_1	Cruella_PROPN	again_ADV	played_VERB	by_ADP	has_AUX	escaped_VERB	again_ADV	Empty
training	watched movie middle cable crush REDACTED	12	movie_1	cable_1	had_VERB	a_DET	crush_NOUN	on_ADP	Empty	Empty	Empty	Empty
training	Glass Cage REDACTED achieves intense highly poetic canvas refined visually predecessor	17	canvas_1	predecessor_1	Empty	a_DET	Glass_PROPN	Cage_PROPN	achieves_VERB	an_DET	intense_ADJ	and_CCONJ
training	wish movie REDACTED	15	movie_2	wish_1	make_VERB	a_DET	movie_NOUN	of_ADP	Empty	Empty	Empty	Empty
training	recommended film REDACTED	22	film_2	recommended_1	was_AUX	the_DET	first_ADJ	for_ADP	Empty	Empty	Empty	Empty
training	think money right way expected buying Awesome movie REDACTED	10	money_1	way_1	i_PRON	can_AUX	say_VERB	for_ADP	Empty	Empty	Empty	Empty
training	watching experience like ve sucked colorful romantic rough world Like Mr REDACTED movie	9	experience_1	world_1	rough_ADJ	world_NOUN	Like_SCONJ	Mr_PROPN	movie_NOUN	should_AUX	be_AUX	Empty
training	apprehensive REDACTED playing native American	7	apprehensive_1	 _1	I_PRON	was_AUX	apprehensive_ADJ	of_ADP	playing_VERB	a_DET	native_ADJ	American_PROPN
training	ve cared REDACTED turns monkeys Fight Club improvement	9	monkeys_1	improvement_1	never_ADV	much_ADV	cared_VERB	for_ADP	though_SCONJ	his_PRON	turns_VERB	in_ADP
training	mad mean REDACTED	13	mad_1	mean_1	is_AUX	so_ADV	mean_ADJ	to_PART	Empty	Empty	Empty	Empty
training	REDACTED wants start listening drawn lives simple warm rough people North	6	start_1	lives_1	Empty	Empty	Empty	Empty	wants_VERB	to_PART	start_VERB	listening_VERB
training	REDACTED scenes come smooth appears sync tone rest movie	13	scenes_1	sync_1	Empty	Empty	of_ADP	the_DET	scenes_NOUN	that_PRON	does_AUX	not_PART
training	Chilling performance REDACTED story HK Cop Cambodian killer hunting	11	performance_1	story_1	Empty	Empty	performance_NOUN	by_ADP	The_DET	story_NOUN	of_ADP	a_DET
training	feel sorry REDACTED having come way Australia awful movie	14	movie_2	feel_1	Empty	feel_VERB	sorry_ADJ	for_ADP	having_VERB	to_PART	come_VERB	all_DET
training	Blob REDACTED cops girl dress thumbs way	11	Blob_1	cops_1	Empty	Blob_NOUN	See_VERB	it_PRON	two_NUM	cops_NOUN	and_CCONJ	one_NUM
training	Mr REDACTED think create amazing story	9	story_2	Mr_1	Empty	Empty	Empty	Empty	what_PRON	did_AUX	you_PRON	think_VERB
validation	REDACTED actually worst actor movie figure play	14	actor_1	movie_1	Empty	Empty	Empty	Empty	is_AUX	actually_ADV	the_DET	worst_ADJ
validation	guys need psychologist Specially REDACTED character	4	guys_1	psychologist_1	a_DET	psychologist_NOUN	Specially_ADV	the_DET	character_NOUN	Empty	Empty	Empty
validation	especially REDACTED favorite sense humor case people sight hardly watch	9	sense_1	humor_1	Empty	Empty	Empty	Empty	she_PRON	is_AUX	my_PRON	favorite_ADJ
validation	Angels Outfield originally movie REDACTED library	10	library_2	Angels_1	a_DET	movie_NOUN	from_ADP	the_DET	library_NOUN	Empty	Empty	Empty
validation	REDACTED hope faith amazing people care want	5	hope_1	faith_1	Empty	Empty	Empty	Empty	could_AUX	keep_VERB	such_ADJ	hope_NOUN
validation	know REDACTED want thank sharing faith strenght humor	5	thank_1	faith_1	Empty	Empty	Empty	know_VERB	will_AUX	see_VERB	this_PRON	and_CCONJ
validation	thank REDACTED know soar heavens bring love laughter heavens	5	heavens_2	love_1	Empty	Empty	Empty	you_PRON	i_PRON	know_VERB	you_PRON	soar_VERB
validation	Song Ending Credits Called Cele B R T E Performed REDACTED	17	R_1	T_1	T_NOUN	E_NOUN	Performed_VERB	By_ADP	Empty	Empty	Empty	Empty
validation	REDACTED bald figure mouth stitched close dark pupil eyes years later group film students	7	figure_1	mouth_1	Empty	Empty	Empty	Empty	a_DET	bald_ADJ	figure_NOUN	with_ADP
validation	breakdancing makes wanna spin REDACTED makes wanna throw piece cmon classic	4	wanna_1	piece_1	makes_VERB	me_PRON	wanna_VERB	spin_NOUN	makes_VERB	me_PRON	wanna_VERB	throw_VERB
validation	younger disappointed hippy glory Seen clear REDACTED aware	9	glory_2	younger_1	it_PRON	is_AUX	clear_ADJ	that_SCONJ	was_AUX	already_ADV	aware_ADJ	of_ADP
validation	REDACTED type kept watching characters	10	type_1	characters_1	Empty	least_ADJ	not_PART	a_DET	type_NOUN	one_NOUN	what_PRON	kept_VERB
validation	characters lovable especially REDACTED blue rabbit owns pawns rocks rules	6	characters_1	rabbit_1	characters_NOUN	are_AUX	lovable_ADJ	especially_ADV	the_DET	blue_ADJ	rabbit_NOUN	he_PRON
validation	REDACTED annoying unfunny wanted shut	12	 _1	annoying_1	Empty	Empty	Empty	Empty	was_AUX	so_ADV	annoying_ADJ	unfunny_ADJ
validation	recommend movie REDACTED journalist covers hip shaking parties Bollywood Page newspaper	14	movie_1	journalist_1	to_PART	see_VERB	the_DET	movie_NOUN	is_AUX	a_DET	journalist_NOUN	who_PRON
validation	sour note American Dubbing found REDACTED plain annoying lost	11	note_2	sour_1	American_PROPN	Dubbing_PROPN	I_PRON	found_VERB	to_PART	be_AUX	just_ADV	plain_ADV
validation	performances great favorite Purple Rain REDACTED	13	performances_1	Rain_1	favorite_ADJ	were_AUX	Purple_PROPN	Rain_PROPN	Empty	Empty	Empty	Empty
validation	remember episode co host REDACTED announced New York apartment series filmed renovated	13	episode_1	co_1	during_ADP	which_PRON	co_VERB	host_NOUN	announced_VERB	that_SCONJ	the_DET	New_PROPN
validation	woods beach realize REDACTED clever think	7	beach_2	woods_1	And_CCONJ	we_PRON	realize_VERB	that_SCONJ	is_AUX	not_PART	as_ADV	clever_ADJ
validation	m age maybe year older REDACTED author Rocket Boys book forming true story basis heart warming film	12	age_1	year_1	a_DET	year_NOUN	older_ADJ	than_ADP	author_NOUN	of_ADP	The_DET	Rocket_PROPN
validation	REDACTED University Paris Pantheon Sorbonne University Paris Saint Denis University Paris Cr teil CEGID	21	University_3	Paris_3	Empty	Empty	Empty	Empty	University_PROPN	Paris_PROPN	Pantheon_PROPN	Sorbonne_PROPN
validation	magnificent score German avant garde composer REDACTED haunted death	18	score_1	composer_1	German_ADJ	avant_X	garde_X	composer_NOUN	is_AUX	haunted_VERB	by_ADP	his_PRON
validation	Mr REDACTED definitely P S Saw came whilst backpacking Mexico	5	P_2	Mr_1	Empty	Empty	Empty	Empty	definitely_ADV	in_ADP	my_PRON	Top_PROPN
validation	REDACTED good job supporting characters	15	job_1	characters_1	Empty	Empty	Empty	Empty	does_VERB	a_DET	good_ADJ	job_NOUN
validation	fantasy adventure production values high acting believe pretty good especially REDACTED	13	fantasy_1	adventure_1	not_PART	pretty_ADV	good_ADJ	especially_ADV	Empty	Empty	Empty	Empty
validation	interesting moving funny mr REDACTED missed	6	interesting_1	moving_1	is_AUX	it_PRON	that_SCONJ	mr_PROPN	is_AUX	just_ADV	so_ADV	very_ADV
validation	liked look REDACTED movie	11	movie_2	liked_1	Empty	liked_VERB	the_DET	look_NOUN	has_VERB	through_ADP	the_DET	whole_ADJ
validation	REDACTED turns excellent courageous performance established mainstream actresses	10	turns_1	performance_1	Empty	Empty	Empty	Empty	turns_VERB	in_ADP	an_DET	excellent_ADJ
validation	stay Mr REDACTED find half spell men armor win war	5	half_1	spell_1	also_ADV	stay_VERB	with_ADP	Mr_PROPN	and_CCONJ	find_VERB	the_DET	other_ADJ
validation	sure director create leave Mr REDACTED brilliant individuals	6	director_1	individuals_1	leave_VERB	it_PRON	to_ADP	Mr_PROPN	and_CCONJ	the_DET	brilliant_ADJ	individuals_NOUN
testing	began feel sympathetic REDACTED began hope successful	4	began_2	feel_1	to_PART	feel_VERB	sympathetic_ADJ	towards_ADP	and_CCONJ	began_VERB	to_PART	hope_VERB
testing	REDACTED naked time times s Thai goddess expected	3	time_1	times_1	Empty	Empty	Empty	Me_PRON	is_AUX	not_PART	naked_ADJ	enough_ADV
testing	turn movie REDACTED accent sex scene thought better	13	movie_1	accent_1	movie_NOUN	off_ADP	because_SCONJ	of_ADP	accent_NOUN	when_SCONJ	it_PRON	made_VERB
testing	heck REDACTED cabs seen	6	cabs_2	heck_1	Empty	the_DET	heck_NOUN	did_AUX	get_VERB	out_ADP	of_ADP	cabs_NOUN
testing	case REDACTED m sorry clue making coherent film wasted lot talented actors process	10	case_1	clue_1	Empty	in_ADP	this_DET	case_NOUN	I_PRON	m_VERB	so_ADV	very_ADV
testing	REDACTED gods sake actually pay writers	16	gods_1	sake_1	Empty	Empty	Empty	Empty	for_ADP	gods_NOUN	sake_NOUN	did_AUX
